branch,bu_num,lat,lon
Bishop's Stortford,101,51.872931,0.159892
Buckhurst Hill,102,51.625339,0.045108
Epsom,104,51.332373,-0.269295
Gillingham,105,51.035823,-2.275914
St Ives,108,52.322254,-0.068822
Longfield,109,51.396344,0.300619
Crowborough,110,51.058485,0.161908
Holloway Road,112,51.555805,-0.115834
Brighton,114,50.824885,-0.151252
Dibden,118,50.87015,-1.398554
Brent Cross,119,51.576123,-0.224505
Dorchester,120,50.714283,-2.436215
Esher,121,51.368064,-0.366948
Hall Green,122,52.428232,-1.841748
Burgess Hill,123,50.954971,-0.1311
Whetstone,124,51.631225,-0.175551
Temple Fortune,125,51.582941,-0.199816
Coulsdon,129,51.322291,-0.136578
New Malden,131,51.4023,-0.255931
Saffron Walden,135,52.023002,0.241952
Allington Park,137,51.286182,0.497457
Bury St Edmunds,140,52.243376,0.708028
Witney,142,51.784772,-1.483454
Harrow Weald,143,51.605298,-0.339575
Kingsthorpe,148,52.262559,-0.901192
East Sheen,149,51.464577,-0.268832
Westbury Park,151,51.480344,-2.612256
Gosport,152,50.792596,-1.135295
Wantage,153,51.588792,-1.424924
Leighton Buzzard,154,51.916727,-0.663531
Stourbridge,155,52.45592,-2.146425
Daventry,156,52.257189,-1.161732
Weybridge,157,51.373564,-0.456868
Ramsgate,160,51.332619,1.417012
Winton,161,50.740639,-1.879066
Marlborough,164,51.42074,-1.730358
Green Street Green,165,51.353984,0.09009
St Albans,166,51.746453,-0.360377
Andover,168,51.208446,-1.481238
Southsea,170,50.785834,-1.086988
Havant,171,50.851767,-0.981214
Kings Road,173,51.488352,-0.167001
John Barnes,174,51.546138,-0.179635
Cobham,176,51.330113,-0.413887
Beaconsfield,177,51.612472,-0.647747
Caterham,178,51.281876,-0.077866
Enfield,179,51.651223,-0.083458
Woodley,180,51.451756,-0.905498
Goldsworth Park,181,51.318786,-0.590705
Sevenoaks,182,51.26981,0.193392
Harpenden,183,51.815638,-0.357127
Caversham,184,51.4672,-0.973643
St Neots,185,52.228598,-0.271917
Northwood,186,51.605127,-0.435137
Richmond,188,51.462292,-0.301411
West Byfleet,189,51.339098,-0.505634
Sunningdale,190,51.391532,-0.633675
Barnet,191,51.655254,-0.203024
Chesham,192,51.707002,-0.611018
Bath,193,51.383221,-2.358782
Maidenhead,194,51.523077,-0.714542
Kingston,195,51.411384,-0.306304
Fleet,196,51.28073,-0.841719
Ruislip,197,51.571315,-0.423009
Yateley,198,51.338939,-0.846354
Enfield CFC,199,51.648408,-0.054305
Tenterden,201,51.0683,0.688617
Banstead,202,51.322898,-0.198579
Ringwood,203,50.847245,-1.793365
Welwyn Garden City,204,51.802239,-0.204001
Ely,205,52.400866,0.268768
Thame,206,51.7495,-0.978034
Bloomsbury,207,51.524219,-0.12351
Chichester,208,50.83226,-0.783926
Petersfield,209,51.004284,-0.936658
Stroud,210,51.741324,-2.212725
Abingdon,211,51.672035,-1.279692
Beckenham,212,51.412153,-0.024016
Southend,213,51.555814,0.724582
Southend,213,51.555814,0.724582
Henley,214,51.538515,-0.905019
Finchley,215,51.611337,-0.17983
Godalming,216,51.186414,-0.609399
Monmouth,217,51.809822,-2.718493
Reading,218,51.465674,-1.01914
South Harrow,219,51.566758,-0.351181
Cirencester,220,51.713389,-1.971411
Wokingham,221,51.411614,-0.833583
Norwich,222,52.600044,1.247209
Berkhamsted,223,51.761979,-0.566947
Bromley South,224,51.398952,0.018099
Putney,225,51.463852,-0.216269
Salisbury,226,51.07601,-1.801869
Salisbury,226,51.07601,-1.801869
Newark,227,53.07981,-0.812074
Billericay,229,51.623926,0.416594
Gloucester Road,230,51.494445,-0.183525
South Woodford,231,51.595228,0.022472
Surbiton,232,51.393661,-0.304558
Horley,233,51.17124,-0.162767
Okehampton,234,50.740394,-4.00413
Marylebone,236,51.519439,-0.152124
Great Malvern,237,52.111956,-2.328241
Twyford,238,51.477829,-0.866354
Biggin Hill,240,51.308271,0.038553
Greenford CFC,259,51.54271,-0.344049
Evesham,303,52.092013,-1.950503
Byres Road,308,55.877397,-4.291714
Weston Super Mare,309,51.341311,-2.95728
York,311,53.955847,-1.070155
Poynton,312,53.348933,-2.119714
East Cowes,313,50.7586,-1.288268
Wimbledon,314,51.423122,-0.20434
Wellington,315,50.979856,-3.22556
Storrington,317,50.918164,-0.451963
Menai Bridge,318,53.223915,-4.166358
Melksham,319,51.375539,-2.138765
Knutsford,326,53.304025,-2.375276
Newton Mearns,327,55.782998,-4.349356
Stratford City,328,51.543924,-0.01468
Alton,329,51.13352,-0.981982
St Saviour (Jersey),332,49.176857,-2.084279
Rohais (Guernsey),333,49.455697,-2.542461
St Helier (Jersey),334,49.204663,-2.113292
Admiral Park (Guernsey),335,49.468893,-2.562992
Red Houses (Jersey),336,49.180036,-2.203781
MOUNTSORREL,403,52.735604,-1.151939
Colchester,455,51.943803,0.925884
JL Foodhall Oxford Street,456,51.517079,-0.134224
Pontprennau,457,51.530274,-3.138088
Crewkerne,458,50.882699,-2.794564
Gerrards Cross,459,51.588103,-0.55083
Kenilworth,460,52.341477,-1.575821
Westfield London,462,51.507202,-0.223242
Winchester,463,51.073863,-1.336308
Alcester,474,52.21642,-1.870181
Bridport,475,50.7336,-2.759929
Haslemere,478,51.08896,-0.710222
Headington,479,51.772134,-1.210543
Holsworthy,480,50.80721,-4.353759
Leigh On Sea,481,51.54853,0.655136
Ponteland,482,55.04969,-1.742476
Saxmundham,483,52.21359,1.492641
Stamford,484,52.65232,-0.485054
Upminster,486,51.5561,0.251848
Lutterworth,487,52.458824,-1.199151
Clerkenwell,492,51.524338,-0.102422
JL Foodhall Bluewater,493,51.44047,0.271567
Altrincham,494,53.405659,-2.364107
Swindon,504,51.540886,-1.794494
Uckfield,506,50.969361,0.09621
Hereford,507,52.058906,-2.716095
Malmesbury,511,51.576633,-2.083807
Coulsdon DFC,513,51.31631,-0.134854
Bagshot,514,51.35527,-0.6992
Nailsea,515,51.433521,-2.758015
Parsons Green,516,51.474314,-0.201251
Egham,519,51.431744,-0.546776
Jesmond,520,54.99166,-1.604305
Enfield Chase,521,51.653426,-0.092496
Chippenham,523,51.458394,-2.116938
